frame,x,y,vx,vy,speed,direction,distance_since_last_hit
32,863.5,666.25,-70.5682700358467,60.190583265869236,92.75121050281616,0,11.171951485752167
33,855.0,673.5,-71.49233672296897,60.9787577931206,93.9657549967138,0,22.343902971504335
34,846.5,680.75,-71.04527365662645,60.59743929535785,93.37815889221376,0,33.5158544572565
35,838.0,688.0,-72.5050110633867,61.84250943641806,95.29676071459767,0,44.68780594300866
36,828.0,698.0,-86.22821065788959,86.22821065788959,121.94510497155171,0,58.82994156673961
37,828.0,698.0,0.0,0.0,0.0,0,58.82994156673961
38,819.0,704.0,-77.59964642156007,51.73309761437338,93.2631680436035,0,69.64659539313158
39,810.0,716.0,-77.54114645599418,103.38819527465891,129.23524409332364,0,84.64659539313158
40,804.0,729.0,-50.98765517143569,110.473252871444,121.67202053010891,0,98.96441645640795
41,797.0,742.0,-59.70794482326647,110.88618324320916,125.93960580081547,0,113.72923951664134
42,785.0,757.0,-102.47568089226051,128.09460111532564,164.0411290171669,0,132.9386122289399
43,785.0,757.0,0.0,0.0,0.0,0,132.9386122289399
44,788.5333333333333,741.9333333333333,29.53919684062094,-125.95959407510213,129.37690477652282,1,0.0
45,792.0666666666667,726.8666666666667,29.496806741199514,-125.7788362926586,129.1912429968188,1,15.475428552673037
46,795.6,711.8,29.492228141502615,-125.75931245244664,129.1711894706499,1,30.95085710534616
47,799.1333333333333,696.7333333333333,29.750778170799837,-126.86180880378856,130.3035967835775,1,46.42628565801917
48,802.6666666666666,681.6666666666666,29.45260640556545,-125.59035938977117,128.99765267528335,1,61.90171421069229
49,806.2,666.6,29.23674891956015,-124.66991048717757,128.0522317972876,1,77.37714276336533
50,809.7333333333333,651.5333333333333,29.53254512785231,-125.93123016782458,129.3477713503802,1,92.85257131603845
51,813.2666666666667,636.4666666666667,29.190448877543265,-124.472480119336,127.84944510138072,1,108.32799986871146
52,816.8,621.4,29.378223322648196,-125.27317869657685,128.67186680210972,1,123.80342842138458
53,820.3333333333334,606.3333333333334,29.21813064151037,-124.5905193392672,127.97068675057066,1,139.2788569740576
54,823.8666666666667,591.2666666666667,29.465665117154266,-125.64604370711216,129.05484772005204,1,154.7542855267307
55,827.4,576.2,29.80570644012503,-127.0960312352507,130.5441737196522,1,170.22971407940372
56,830.9333333333333,561.1333333333333,29.43125724037559,-125.49932332688611,128.90414678456028,1,185.70514263207684
57,834.4666666666667,546.0666666666666,29.58814653910317,-126.16832297806005,129.59129653921792,1,201.18057118474997
58,838.0,531.0,30.579896607982217,-130.39729496988704,133.93500144480012,1,216.65599973742297
59,839.0,514.0,8.714585796296257,-148.14795853703637,148.40404854414336,1,233.6853861033494
60,842.0,501.0,26.10968926700213,-113.14198682367588,116.11556767302243,1,247.02705016747575
61,842.0,501.0,0.0,0.0,0.0,0,247.02705016747575
62,845.6666666666666,487.6666666666667,30.445312412358792,-110.71022695403296,114.82016983134807,0,260.8553625092701
63,849.3333333333334,474.3333333333333,30.581042771515808,-111.20379189641913,115.33205759516898,0,274.6836748510645
64,853.0,461.0,31.6658355107419,-115.14849276633521,119.42319927447981,0,288.51198719285884
65,859.0,452.0,52.44606349590073,-78.6690952438511,94.54848556535512,0,299.3286410192508
66,860.6666666666666,444.0,13.84423231803087,-66.45231512654969,67.87910543130246,0,307.500408134005
67,862.3333333333334,436.0,13.845411374333745,-66.45797459679895,67.88488641541139,0,315.6721752487592
68,864.0,428.0,14.511375069368288,-69.65460033296937,71.15014654903797,0,323.84394236351335
69,868.0,419.0,34.692053829166014,-78.05712111562353,85.41927625392803,0,333.69280016530945
70,874.0,411.0,52.4963891009675,-69.99518546795666,87.49398183494583,0,343.6928001653094
71,874.0,402.0,0.0,-78.32467963614634,78.32467963614634,0,352.6928001653094
72,875.6,395.2,13.230851611249856,-56.23111934781118,57.766722405435964,0,359.6784998439386
73,877.2,388.4,13.381654599510858,-56.87203204792043,58.42513764708046,0,366.6641995225678
74,878.8,381.6,13.360235555032757,-56.78100110889206,58.33162076450442,0,373.6498992011969
75,880.4,374.8,13.288226127419623,-56.474961041532694,58.01722311741638,0,380.6355988798261
76,882.0,368.0,13.9243585992827,-59.178524046950734,60.79461712007852,0,387.6212985584553
77,884.0,363.0,17.526802279907066,-43.81700569976766,47.19235940968016,0,393.0064633655898
78,889.0,357.0,43.81700569976766,-52.5804068397212,68.44435091316208,0,400.8167130414965
79,889.0,357.0,0.0,0.0,0.0,0,400.8167130414965
